1790500_2	PERSON now live	[Charlie McCarthy]	Charlie McCarthy now lives with wife in a ranch
1793067_3	PERSON to LOCATION	[Cody Bass, Mississauga]	Returned C Cody Bass to Mississauga to Lethbridge .
1793067_3	LOCATION of the ohl	[Mississauga]	Mississauga of the OHL
1793067_3	PERSON to LOCATION	[Nick Foligno, Sudbury]	LW Nick Foligno to Sudbury
1793067_3	LOCATION of the ohl	[Sudbury]	Sudbury of the OHL
1743758_1	museum of ORGANIZATION	[University of Michigan]	Exhibit Museum of {{Natural History , University of Michigan}}
1743758_1	natural history ORGANIZATION	[University of Michigan]	Natural History , University of Michigan
1743758_1	museum of ORGANIZATION	[University of Oklahoma]	Sam Noble Oklahoma Museum of {{Natural History , University of Oklahoma}}
1743758_1	natural history ORGANIZATION	[University of Oklahoma]	Natural History , University of Oklahoma
1702500_1	PERSON of LOCATION	[Tony Blair, Britain]	Prime Minister Tony Blair of Britain
1791903_2	ORGANIZATION chief executive PERSON	[Hewlett-Packard, Mark V. Hurd]	Hewlett-Packard chief executive , Mark V. Hurd ,
1809518_2	ORGANIZATION chief executive PERSON	[Pfizer, Jeffrey B. Kindler]	Pfizer chief executive , Jeffrey B. Kindler ,
1642483_1	PERSON of LOCATION	[M. Jodi Rell, Connecticut]	Gov. M. Jodi Rell of Connecticut
1815244_1	PERSON of LOCATION	[Mikheil Saakashvili, Georgia]	President Mikheil Saakashvili of Georgia
